lemma	form	pos
terjadi	terjadi	VERB
suatu	suatu	DET
ketika	ketika	SCONJ
banyak	banyak	ADV
jepang	jepang	PROPN
hingga	hingga	ADP
sehingga	sehingga	SCONJ
album	album	NOUN
baru	baru	ADJ
apa	apakah	ADV
tengah	tengah	PROPN
the	the	PROPN
2	2	NUM
dunia	dunia	NOUN
air	air	NOUN
atas	atas	ADP
anggota	anggota	NOUN
disebut	disebut	VERB
lainnya	lainnya	ADJ
menbuat	membuat	VERB
sekitar	sekitar	ADP
yaitu	yaitu	ADV
bagi	bagi	ADP
bulan	bulan	NOUN
jiwa	jiwa	NOUN
3	3	NUM
bermain	bermain	VERB
utara	utara	PROPN
sudah	sudah	ADV
terhadap	terhadap	ADP
pernah	pernah	ADV
semua	semua	DET
harus	harus	ADV
5	5	NUM
penduduk	penduduk	NOUN
terdapat	terdapat	VERB
sama	sama	ADJ
tiga	tiga	NUM
mulai	mulai	VERB
``	``	PUNCT
tim	tim	NOUN
lagi	lagi	ADV
termasuk	termasuk	VERB
kali	kali	NOUN
masyarakat	masyarakat	NOUN
selatan	selatan	PROPN
penperintah	pemerintah	NOUN
serikat	serikat	PROPN
%	%	SYM
kapal	kapal	NOUN
_	”	PUNCT
_	“	PUNCT
sistem	sistem	NOUN
selain	selain	ADP
bentuk	bentuk	NOUN
raja	raja	PROPN
jakarta	jakarta	PROPN
kecil	kecil	ADJ
tanah	tanah	NOUN
perusahaan	perusahaan	NOUN
maka	maka	SCONJ
kita	kita	PRON
utama	utama	ADJ
kembali	kembali	VERB
4	4	NUM
musik	musik	NOUN
setiap	setiap	DET
berhasil	berhasil	VERB
musim	musim	NOUN
sekolah	sekolah	NOUN
2010	2010	NUM
terdiri	terdiri	VERB
berasal	berasal	VERB
menpunyai	mempunyai	VERB
tinggi	tinggi	ADJ
bernama	bernama	VERB
menlakukan	melakukan	VERB
rumah	rumah	NOUN
pulau	pulau	NOUN
belanda	belanda	PROPN
manusia	manusia	NOUN
baik	baik	ADJ
akhirnya	akhirnya	ADV
jumlah	jumlah	NOUN
jika	jika	SCONJ
jenis	jenis	NOUN
bola	bola	NOUN
klub	klub	NOUN
hasil	hasil	NOUN
masing	masing	DET
seluruh	seluruh	DET
melalui	melalui	ADP
biasanya	biasanya	ADV
2006	2006	NUM
awal	awal	ADJ
perancis	perancis	PROPN
abad	abad	NOUN
10	10	NUM
sendiri	sendiri	ADJ
penmain	pemain	NOUN
paling	paling	ADV
negeri	negeri	PROPN
pesawat	pesawat	NOUN
2007	2007	NUM
–	–	PUNCT
islam	islam	PROPN
penperintahan	pemerintahan	NOUN
_	saya	PRON
al	al	PROPN
6	6	NUM
dilakukan	dilakukan	VERB
diri	diri	NOUN
cara	cara	NOUN
bagaimana	bagaimana	ADV
inggris	inggris	PROPN
sering	sering	ADV
sebagian	sebagian	DET
masuk	masuk	VERB
sepak	sepak	NOUN
perang	perang	NOUN
jerman	jerman	PROPN
istilah	istilah	NOUN
kata	kata	NOUN
bawah	bawah	NOUN
mencapai	mencapai	VERB
pula	pula	ADV
universitas	universitas	PROPN
20	20	NUM
proses	proses	NOUN
mengapa	mengapa	ADV
april	april	PROPN
luas	luas	NOUN
8	8	NUM
akhir	akhir	NOUN
tak	tak	PART
12	12	NUM
pasukan	pasukan	NOUN
maupun	maupun	CCONJ
2005	2005	NUM
agama	agama	NOUN
karya	karya	NOUN
2009	2009	NUM
2008	2008	NUM
sementara	sementara	SCONJ
ii	ii	NUM
tetapi	tetapi	SCONJ
november	november	PROPN
kelurahan	kelurahan	NOUN
aceh	aceh	PROPN
mungkin	mungkin	ADV
gereja	gereja	NOUN
pendidikan	pendidikan	NOUN
dirilis	dirilis	VERB
terbesar	terbesar	ADJ
bidang	bidang	NOUN
kamu	kamu	PRON
sumatera	sumatera	PROPN
ditemukan	ditemukan	VERB
italia	italia	PROPN
7	7	NUM
2011	2011	NUM
_	tapi	CCONJ
bandar	bandar	PROPN
13	13	NUM
band	band	NOUN
buku	buku	NOUN
bandara	bandara	NOUN
cerita	cerita	NOUN
kerajaan	kerajaan	PROPN
siapa	siapa	PRON
kalimantan	kalimantan	PROPN
sejarah	sejarah	NOUN
sebesar	sebesar	ADP
meskipun	meskipun	SCONJ
bukan	bukan	PART
saja	saja	ADV
bahan	bahan	NOUN
allah	allah	PROPN
11	11	NUM
menjabat	menjabat	VERB
jalan	jalan	NOUN
tanpa	tanpa	ADP
sebanyak	sebanyak	ADP
cinta	cinta	NOUN
menberikan	memberikan	VERB
sedangkan	sedangkan	SCONJ
posisi	posisi	NOUN
terutama	terutama	ADV
ilmu	ilmu	NOUN
cukup	cukup	ADV
tingkat	tingkat	NOUN
menurut	menurut	ADP
acara	acara	NOUN
empat	empat	NUM
de	de	PROPN
bersama	bersama	ADP
datang	datang	VERB
aku	aku	PRON
dianggap	dianggap	VERB
2012	2012	NUM
mendapat	mendapat	VERB
eropa	eropa	PROPN
laut	laut	NOUN
sebelum	sebelum	ADP
ialah	ialah	AUX
bumi	bumi	NOUN
of	of	PROPN
dekat	dekat	ADJ
udara	udara	NOUN
no	no	PROPN
gaya	gaya	NOUN
kelompok	kelompok	NOUN
sma	sma	PROPN
pusat	pusat	NOUN
an	an	NUM
tetap	tetap	ADV
2004	2004	NUM
sungai	sungai	PROPN
engkau	engkau	PRON
2000	2000	NUM
demikian	demikian	ADV
lama	lama	ADJ
api	api	NOUN
penterbangan	penerbangan	NOUN
program	program	NOUN
muncul	muncul	VERB
dimulai	dimulai	VERB
umum	umum	ADJ
zaman	zaman	NOUN
masalah	masalah	NOUN
cina	cina	PROPN
januari	januari	PROPN
mentemukan	menemukan	VERB
kehidupan	kehidupan	NOUN
sumber	sumber	NOUN
seni	seni	NOUN
nasional	nasional	PROPN
terus	terus	ADV
bekerja	bekerja	VERB
teknologi	teknologi	NOUN
semakin	semakin	ADV
mendapatkan	mendapatkan	VERB
kepala	kepala	NOUN
februari	februari	PROPN
periode	periode	NOUN
9	9	NUM
a	a	PROPN
industri	industri	NOUN
produk	produk	NOUN
jalur	jalur	NOUN
18	18	NUM
sebelumnya	sebelumnya	ADV
dibuat	dibuat	VERB
bergabung	bergabung	VERB
hubungan	hubungan	NOUN
mengenai	mengenai	ADP
kereta	kereta	NOUN
stasiun	stasiun	PROPN
lima	lima	NUM
17	17	NUM
keputusan	keputusan	NOUN
kisah	kisah	NOUN
sedang	sedang	ADV
=	=	SYM
mendirikan	mendirikan	VERB
terakhir	terakhir	ADJ
ditulis	ditulis	VERB
perangkat	perangkat	NOUN
dipakai	dipakai	VERB
sisi	sisi	NOUN
berrupa	berupa	VERB
internasional	internasional	ADJ
jam	jam	NOUN
kawasan	kawasan	NOUN
mampu	mampu	ADV
oktober	oktober	PROPN
putra	putra	NOUN
menmulai	memulai	VERB
organisasi	organisasi	NOUN
30	30	NUM
menhasilkan	menghasilkan	VERB
km	km	SYM
suku	suku	NOUN
belum	belum	ADV
menalami	mengalami	VERB
serial	serial	NOUN
*	*	SYM
kitab	kitab	NOUN
jauh	jauh	ADJ
walaupun	walaupun	SCONJ
lalu	lalu	SCONJ
bangsa	bangsa	NOUN
rakyat	rakyat	NOUN
sultan	sultan	PROPN
resmi	resmi	ADJ
juni	juni	PROPN
i	i	PROPN
bertanya	bertanya	VERB
menambil	mengambil	VERB
menbantu	membantu	VERB
lahir	lahir	VERB
kristen	kristen	PROPN
penting	penting	ADJ
sulawesi	sulawesi	PROPN
kegiatan	kegiatan	NOUN
televisi	televisi	NOUN
sekarang	sekarang	NOUN
berdasarkan	berdasarkan	VERB
pasar	pasar	NOUN
hutan	hutan	NOUN
kode	kode	NOUN
sebelah	sebelah	ADP
alam	alam	NOUN
gelar	gelar	NOUN
ketua	ketua	NOUN
ayah	ayahnya	NOUN
batu	batu	NOUN
maret	maret	PROPN
berlangsung	berlangsung	VERB
sunda	sunda	PROPN
pun	pun	PART
tokoh	tokoh	NOUN
pantai	pantai	NOUN
bangunan	bangunan	NOUN
tugas	tugas	NOUN
politik	politik	NOUN
republik	republik	PROPN
huruf	huruf	NOUN
jaringan	jaringan	NOUN
dibangun	dibangun	VERB
menlihat	melihat	VERB
panjang	panjang	ADJ
hukum	hukum	NOUN
15	15	NUM
new	new	PROPN
karakter	karakter	NOUN
mata	mata	NOUN
hampir	hampir	ADV
raya	raya	PROPN
mentinggal	meninggal	VERB
india	india	PROPN
menbawa	membawa	VERB
pihak	pihak	NOUN
tua	tua	ADJ
rusia	rusia	PROPN
bin	bin	PROPN
bila	bila	SCONJ
menbentuk	membentuk	VERB
bali	bali	PROPN
terkenal	terkenal	ADJ
menikuti	mengikuti	VERB
juli	juli	PROPN
ekonomi	ekonomi	NOUN
16	16	NUM
tahap	tahap	NOUN
14	14	NUM
kami	kami	PRON
ibu	ibu	NOUN
kepulauan	kepulauan	PROPN
fc	fc	PROPN
dibentuk	dibentuk	VERB
pengunaan	penggunaan	NOUN
perubahan	perubahan	NOUN
diri	dirinya	PRON
mennyatakan	menyatakan	VERB
badan	badan	NOUN
kaum	kaum	NOUN
desember	desember	PROPN
makanan	makanan	NOUN
penguna	pengguna	NOUN
laki	laki	NOUN
september	september	PROPN
umumnya	umumnya	ADV
korea	korea	PROPN
gedung	gedung	NOUN
1999	1999	NUM
berarti	berarti	VERB
warna	warna	NOUN
britania	britania	PROPN
gunung	gunung	PROPN
asal	asal	ADP
muda	muda	ADJ
bandung	bandung	PROPN
22	22	NUM
kaisar	kaisar	PROPN
25	25	NUM
sejumlah	sejumlah	DET
putih	putih	ADJ
yesus	yesus	PROPN
nama	namanya	NOUN
keluarga	keluarga	NOUN
militer	militer	ADJ
didirikan	didirikan	VERB
diberi	diberi	VERB
asli	asli	ADJ
kekuasaan	kekuasaan	NOUN
presiden	presiden	PROPN
berbeda	berbeda	ADJ
mantan	mantan	NOUN
ruang	ruang	NOUN
kerja	kerja	NOUN
menlawan	melawan	VERB
berusaha	berusaha	VERB
bintang	bintang	NOUN
segera	segera	ADV
surat	surat	NOUN
penbangunan	pembangunan	NOUN
penuh	penuh	ADJ
kurang	kurang	ADV
budaya	budaya	NOUN
belajar	belajar	VERB
masjid	masjid	NOUN
versi	versi	NOUN
berkembang	berkembang	VERB
piala	piala	PROPN
komputer	komputer	NOUN
mentinggalkan	meninggalkan	VERB
grup	grup	NOUN
mensebabkan	menyebabkan	VERB
dikembangkan	dikembangkan	VERB
permainan	permainan	NOUN
hidup	hidup	ADJ
berrubah	berubah	VERB
wanita	wanita	NOUN
selalu	selalu	ADV
ketiga	ketiga	NUM
mentunjukkan	menunjukkan	VERB
liga	liga	PROPN
distrik	distrik	NOUN
pt	pt	PROPN
menperoleh	memperoleh	VERB
mennikah	menikah	VERB
asia	asia	PROPN
pangeran	pangeran	PROPN
dilaksanakan	dilaksanakan	VERB
aktor	aktor	NOUN
berbentuk	berbentuk	VERB
seseorang	seseorang	NOUN
_	luar	NOUN
melayu	melayu	PROPN
kuat	kuat	ADJ
2003	2003	NUM
biasa	biasa	ADV
siapa	siapakah	PRON
tradisional	tradisional	ADJ
nilai	nilai	NOUN
kekuatan	kekuatan	NOUN
barang	barang	NOUN
matahari	matahari	NOUN
populasi	populasi	NOUN
kelas	kelas	NOUN
ikan	ikan	NOUN
diketahui	diketahui	VERB
kematian	kematian	NOUN
khusus	khusus	ADJ
ibukota	ibukota	NOUN
unit	unit	NOUN
buah	buah	NOUN
lembaga	lembaga	NOUN
mentulis	menulis	VERB
agung	agung	PROPN
berkata	berkata	VERB
perjalanan	perjalanan	NOUN
harga	harga	NOUN
mesin	mesin	NOUN
dasar	dasar	ADJ
menterima	menerima	VERB
lokal	lokal	ADJ
malaysia	malaysia	PROPN
menketahui	mengetahui	VERB
diterbitkan	diterbitkan	VERB
arab	arab	PROPN
malam	malam	NOUN
mentolak	menolak	VERB
tujuan	tujuan	NOUN
usaha	usaha	NOUN
jatuh	jatuh	VERB
19	19	NUM
_	mengatakan	NOUN
pertanian	pertanian	NOUN
pengetahuan	pengetahuan	NOUN
sekali	sekali	ADV
daya	daya	NOUN
27	27	NUM
mensediakan	menyediakan	VERB
&amp;	&amp;	SYM
tangan	tangan	NOUN
dijadikan	dijadikan	VERB
terbaik	terbaik	PROPN
babak	babak	NOUN
angka	angka	NOUN
saling	saling	ADV
bahkan	bahkan	SCONJ
hak	hak	NOUN
enam	enam	NUM
pasangan	pasangan	NOUN
serangan	serangan	NOUN
bertahan	bertahan	VERB
mei	mei	PROPN
kondisi	kondisi	NOUN
tenggara	tenggara	PROPN
radio	radio	PROPN
diberikan	diberikan	VERB
contoh	contoh	NOUN
menmenangkan	memenangkan	VERB
suara	suara	NOUN
pennyanyi	penyanyi	NOUN
berikutnya	berikutnya	ADJ
pertandingan	pertandingan	NOUN
pimpinan	pimpinan	NOUN
undang	undang	NOUN
gol	gol	NOUN
benar	benar	ADJ
kampung	kampung	NOUN
maskapai	maskapai	NOUN
akan	akankah	ADV
sebenarnya	sebenarnya	ADV
katolik	katolik	PROPN
alat	alat	NOUN
karier	karier	NOUN
umat	umat	NOUN
50	50	NUM
berakhir	berakhir	VERB
belakang	belakang	NOUN
teman	teman	NOUN
dewan	dewan	PROPN
tertentu	tertentu	DET
penpimpin	pemimpin	NOUN
warga	warga	NOUN
memang	memang	ADV
fasilitas	fasilitas	NOUN
mudah	mudah	ADJ
dr	dr	PROPN
yunani	yunani	PROPN
video	video	NOUN
nomor	nomor	NOUN
diikuti	diikuti	VERB
spesies	spesies	NOUN
tahu	tahu	VERB
mana	mana	NOUN
proyek	proyek	NOUN
populer	populer	ADJ
diambil	diambil	VERB
dimiliki	dimiliki	VERB
kemampuan	kemampuan	NOUN
penduduk	penduduknya	NOUN
kalau	kalau	SCONJ
m	m	PROPN
begitu	begitu	ADV
mobil	mobil	NOUN
terlihat	terlihat	VERB
terpilih	terpilih	VERB
menrasa	merasa	VERB
romawi	romawi	PROPN
peristiwa	peristiwa	NOUN
menteri	menteri	PROPN
24	24	NUM
agar	agar	SCONJ
1997	1997	NUM
kantor	kantor	NOUN
29	29	NUM
guru	guru	NOUN
23	23	NUM
anak	anaknya	NOUN
angkatan	angkatan	NOUN
28	28	NUM
taman	taman	PROPN
ahli	ahli	NOUN
_	ujar	VERB
garis	garis	NOUN
kadang	kadang	ADV
lokasi	lokasi	NOUN
pentulis	penulis	NOUN
partai	partai	PROPN
diadakan	diadakan	VERB
ditetapkan	ditetapkan	VERB
keras	keras	ADJ
merah	merah	ADJ
c	c	PROPN
menhadapi	menghadapi	VERB
israel	israel	PROPN
jelas	jelas	ADJ
2001	2001	NUM
berita	berita	NOUN
tinggal	tinggal	VERB
pukul	pukul	NOUN
tanaman	tanaman	NOUN
pergi	pergi	VERB
tenaga	tenaga	NOUN
muhammad	muhammad	PROPN
sang	sang	DET
ayah	ayah	NOUN
sifat	sifat	NOUN
beliau	beliau	PRON
adanya	adanya	PRON
agustus	agustus	PROPN
demi	demi	ADP
usia	usia	NOUN
berwarna	berwarna	VERB
menciptakan	menciptakan	VERB
yakni	yakni	ADV
perjanjian	perjanjian	NOUN
kemungkinan	kemungkinan	NOUN
mententukan	menentukan	VERB
pentumpang	penumpang	NOUN
rendah	rendah	ADJ
21	21	NUM
arah	arah	NOUN
batas	batas	NOUN
kayu	kayu	NOUN
pentelitian	penelitian	NOUN
ingin	ingin	ADV
lingkungan	lingkungan	NOUN
sana	sana	NOUN
milik	milik	NOUN
menpilih	memilih	VERB
hindia	hindia	PROPN
sosial	sosial	NOUN
panas	panas	ADJ
tubuh	tubuh	NOUN
informasi	informasi	NOUN
pensakit	penyakit	NOUN
operasi	operasi	NOUN
pindah	pindah	VERB
pasal	pasal	NOUN
fakultas	fakultas	PROPN
menberi	memberi	VERB
hati	hati	NOUN
data	data	NOUN
lampung	lampung	PROPN
dibawah	dibawah	ADP
sesuai	sesuai	ADJ
keadaan	keadaan	NOUN
2002	2002	NUM
mencari	mencari	VERB
bertemu	bertemu	VERB
segala	segala	DET
bebas	bebas	ADJ
cm	cm	SYM
menkalahkan	mengalahkan	VERB
anda	anda	PRON
yahudi	yahudi	PROPN
situs	situs	NOUN
bunga	bunga	NOUN
hewan	hewan	NOUN
menkembangkan	mengembangkan	VERB
pertempuran	pertempuran	NOUN
40	40	NUM
berdiri	berdiri	VERB
akibat	akibat	NOUN
maria	maria	PROPN
penhargaan	penghargaan	NOUN
penlabuhan	pelabuhan	NOUN
100	100	NUM
sedikit	sedikit	ADV
ikut	ikut	VERB
siswa	siswa	NOUN
1998	1998	NUM
disutradarai	disutradarai	VERB
kesehatan	kesehatan	NOUN
menputuskan	memutuskan	VERB
kemenangan	kemenangan	NOUN
gerakan	gerakan	NOUN
smk	smk	PROPN
berjudul	berjudul	VERB
daripada	daripada	ADP
mesir	mesir	PROPN
°	°	SYM
1990	1990	NUM
uni	uni	PROPN
jawab	jawab	NOUN
utama	utamanya	ADJ
tumbuh	tumbuh	VERB
unsur	unsur	NOUN
jabatan	jabatan	NOUN
apabila	apabila	SCONJ
raden	raden	PROPN
langsung	langsung	ADJ
in	in	PROPN
drama	drama	NOUN
bank	bank	PROPN
menserang	menyerang	VERB
meter	meter	NOUN
foto	foto	NOUN
sisa	sisa	NOUN
maluku	maluku	PROPN
_	pemilihan	VERB
_	tiongkok	PROPN
layanan	layanan	NOUN
terlalu	terlalu	ADV
sempat	sempat	ADV
tentara	tentara	NOUN
nabi	nabi	PROPN
diterima	diterima	VERB
beroperasi	beroperasi	VERB
kesultanan	kesultanan	PROPN
antara	antaranya	ADP
teks	teks	NOUN
berjalan	berjalan	VERB
1996	1996	NUM
h	h	NOUN
kendaraan	kendaraan	NOUN
adat	adat	NOUN
tertinggi	tertinggi	ADJ
fungsi	fungsi	NOUN
iii	iii	NUM
selanjutnya	selanjutnya	ADV
permukaan	permukaan	NOUN
aktif	aktif	ADJ
menrilis	merilis	VERB
gorontalo	gorontalo	PROPN
struktur	struktur	NOUN
media	media	NOUN
1967	1967	NUM
pertemuan	pertemuan	NOUN
pentingkatan	peningkatan	NOUN
teori	teori	NOUN
_	meski	ADP
dimana	dimana	ADV
1945	1945	NUM
pertengahan	pertengahan	NOUN
filipina	filipina	PROPN
perkembangan	perkembangan	NOUN
diproduksi	diproduksi	VERB
yogyakarta	yogyakarta	PROPN
model	model	NOUN
york	york	PROPN
pohon	pohon	NOUN
mentingkatkan	meningkatkan	VERB
istri	istri	NOUN
belas	belas	NUM
kalangan	kalangan	NOUN
soviet	soviet	PROPN
turut	turut	ADV
kejadian	kejadian	NOUN
km²	km²	NOUN
peraturan	peraturan	NOUN
menkandung	mengandung	VERB
keempat	keempat	NUM
peserta	peserta	NOUN
keju	keju	NOUN
r	r	PROPN
kulit	kulit	NOUN
van	van	PROPN
afrika	afrika	PROPN
pegunungan	pegunungan	NOUN
bupati	bupati	NOUN
sektor	sektor	NOUN
konsep	konsep	NOUN
dibandingkan	dibandingkan	VERB
km&amp;sup2	km&amp;sup2	NUM
super	super	PROPN
kaki	kaki	NOUN
keturunan	keturunan	NOUN
lunak	lunak	ADJ
kuningan	kuningan	PROPN
perdagangan	perdagangan	NOUN
peran	peran	NOUN
australia	australia	PROPN
spanyol	spanyol	PROPN
cahaya	cahaya	NOUN
_	-an	PUNCT
cirebon	cirebon	PROPN
berisi	berisi	VERB
dipilih	dipilih	VERB
menpinta	meminta	VERB
paris	paris	PROPN
|	|	PUNCT
smp	smp	PROPN
banten	banten	PROPN
putri	putri	PROPN
disebabkan	disebabkan	VERB
penkembangan	pengembangan	NOUN
naik	naik	VERB
atau	ataupun	CCONJ
khas	khas	ADJ
gempa	gempa	NOUN
ibu	ibunya	NOUN
edisi	edisi	NOUN
kemerdekaan	kemerdekaan	NOUN
burung	burung	NOUN
keluar	keluar	VERB
riau	riau	PROPN
sesuatu	sesuatu	NOUN
titik	titik	NOUN
ukuran	ukuran	NOUN
terbuka	terbuka	ADJ
1995	1995	NUM
_	area	NOUN
san	san	PROPN
menit	menit	NOUN
berbasis	berbasis	VERB
padang	padang	PROPN
menbunuh	membunuh	VERB
istana	istana	NOUN
pertumbuhan	pertumbuhan	NOUN
jasa	jasa	NOUN
tangga	tangga	NOUN
as	as	PROPN
menjelaskan	menjelaskan	VERB
aliran	aliran	NOUN
pentampilan	penampilan	NOUN
gampong	gampong	NOUN
perbatasan	perbatasan	NOUN
internet	internet	NOUN
menatur	mengatur	VERB
perempuan	perempuan	NOUN
berhenti	berhenti	VERB
tiba	tiba	ADV
pelajar	pelajar	NOUN
sukses	sukses	ADJ
juta	juta	NUM
laporan	laporan	NOUN
binatang	binatang	NOUN
tradisi	tradisi	NOUN
pos	pos	NOUN
tepat	tepat	ADJ
berjumlah	berjumlah	VERB
kini	kini	ADV
1950	1950	NUM
komune	komune	NOUN
1970	1970	NUM
mirip	mirip	ADJ
tema	tema	NOUN
jarak	jarak	NOUN
hitam	hitam	ADJ
tanda	tanda	NOUN
bisnis	bisnis	NOUN
bukan	bukankah	PART
_	''	PUNCT
mencetak	mencetak	VERB
menliputi	meliputi	VERB
terbagi	terbagi	VERB
menjaga	menjaga	VERB
international	international	PROPN
lihat	lihat	VERB
langit	langit	NOUN
pakaian	pakaian	NOUN
menhubungkan	menghubungkan	VERB
satu	satunya	DET
!	!	PUNCT
la	la	PROPN
alasan	alasan	NOUN
puluh	puluh	NUM
depan	depan	NOUN
murid	murid	NOUN
ordo	ordo	NOUN
fitur	fitur	NOUN
semarang	semarang	PROPN
dilihat	dilihat	VERB
saudara	saudara	NOUN
suci	suci	PROPN
diselenggarakan	diselenggarakan	VERB
satelit	satelit	NOUN
perbedaan	perbedaan	NOUN
dokter	dokter	NOUN
menubah	mengubah	VERB
60	60	NUM
pintu	pintu	NOUN
bersifat	bersifat	VERB
senjata	senjata	NOUN
gubernur	gubernur	PROPN
energi	energi	NOUN
munisipalitas	munisipalitas	NOUN
bergerak	bergerak	VERB
mahasiswa	mahasiswa	NOUN
surabaya	surabaya	PROPN
kesempatan	kesempatan	NOUN
and	and	CCONJ
hijau	hijau	ADJ
selesai	selesai	VERB
dewa	dewa	NOUN
jadi	jadi	VERB
mencakup	mencakup	VERB
pelajaran	pelajaran	NOUN
dibintangi	dibintangi	VERB
gagal	gagal	VERB
bantuan	bantuan	NOUN
0	0	NUM
catatan	catatan	NOUN
benda	benda	NOUN
tunggal	tunggal	ADJ
ternyata	ternyata	ADV
papua	papua	PROPN
kopi	kopi	NOUN
peringkat	peringkat	NOUN
city	city	PROPN
berikut	berikut	NOUN
divisi	divisi	PROPN
x	x	PROPN
latin	latin	PROPN
kedua	keduanya	NOUN
marga	marga	NOUN
fisik	fisik	NOUN
menmainkan	memainkan	VERB
west	west	PROPN
berusia	berusia	VERB
dibagi	dibagi	VERB
menadakan	mengadakan	VERB
kekaisaran	kekaisaran	NOUN
lebar	lebar	ADJ
_	prancis	PROPN
teluk	teluk	PROPN
kira	kira	ADV
tanjung	tanjung	PROPN
dipimpin	dipimpin	VERB
_	lah	PART
dukungan	dukungan	NOUN
_	ke-	PUNCT
alkitab	alkitab	NOUN
vokal	vokal	NOUN
berukuran	berukuran	VERB
kenapa	kenapa	ADV
1980	1980	NUM
halaman	halaman	NOUN
perhatian	perhatian	NOUN
_	polisi	NOUN
turun	turun	VERB
produksi	produksi	NOUN
senapan	senapan	NOUN
studi	studi	NOUN
urutan	urutan	NOUN
berhubungan	berhubungan	VERB
teknik	teknik	PROPN
reaksi	reaksi	NOUN
saham	saham	NOUN
sm	sm	NOUN
perlu	perlu	ADV
konflik	konflik	NOUN
mentangkap	menangkap	VERB
menlayani	melayani	VERB
cepat	cepat	ADJ
faktor	faktor	NOUN
_	minggu	NOUN
kecepatan	kecepatan	NOUN
mendukung	mendukung	VERB
1974	1974	NUM
ri	ri	PROPN
tokyo	tokyo	PROPN
sepanjang	sepanjang	ADP
perdana	perdana	PROPN
_	kah	PART
lewat	lewat	ADP
1976	1976	NUM
menumumkan	mengumumkan	VERB
tulisan	tulisan	NOUN
pengaruh	pengaruh	NOUN
modern	modern	ADJ
diciptakan	diciptakan	VERB
komering	komering	PROPN
kaya	kaya	ADJ
_	£	SYM
status	status	NOUN
keberadaan	keberadaan	NOUN
solo	solo	PROPN
kawan	kawan	NOUN
pendek	pendek	ADJ
sederhana	sederhana	ADJ
prof	prof	PROPN
gambar	gambar	NOUN
menbeli	membeli	VERB
1960	1960	NUM
hulu	hulu	PROPN
rock	rock	NOUN
desain	desain	NOUN
wisata	wisata	NOUN
dilanjutkan	dilanjutkan	VERB
mencoba	mencoba	VERB
lapisan	lapisan	NOUN
terbentuk	terbentuk	VERB
john	john	PROPN
seri	seri	NOUN
sarana	sarana	NOUN
makam	makam	NOUN
nusa	nusa	PROPN
komersial	komersial	ADJ
ratu	ratu	PROPN
hotel	hotel	NOUN
disebutkan	disebutkan	VERB
keuangan	keuangan	NOUN
on	on	PROPN
menjadikan	menjadikan	VERB
pondok	pondok	PROPN
menmasuki	memasuki	VERB
metode	metode	NOUN
26	26	NUM
menpenuhi	memenuhi	VERB
lengkap	lengkap	ADJ
si	si	DET
uang	uang	NOUN
komunikasi	komunikasi	NOUN
menarik	menarik	VERB
abdul	abdul	PROPN
petani	petani	NOUN
united	united	PROPN
mati	mati	ADJ
pertanyaan	pertanyaan	NOUN
tuhan	tuhan	NOUN
