lemma	form	pos
että	et	SCONJ
pitää	pitäisi	AUX
voida	voidaan	AUX
minä	minun	PRON
he	he	PRON
pois	pois	ADV
ennen	ennen	ADP
tämä	tätä	PRON
me	me	PRON
silloin	silloin	ADV
näin	näin	ADV
ihan	ihan	PART
vuoksi	vuoksi	ADP
minä	minua	PRON
olla	olin	AUX
aika	aikaa	NOUN
asia	asia	NOUN
taas	taas	ADV
osa	osa	NOUN
tämä	tässä	PRON
yksi	yksi	NUM
liian	liian	ADV
prosentti	prosenttia	NOUN
...	...	PUNCT
se	niiden	PRON
*	*	PUNCT
yli	yli	ADV
noin	noin	ADV
yhteisö	yhteisön	NOUN
itse	itse	ADV
voida	voisi	AUX
1	1	NUM
minä	minulla	PRON
aika	aikana	NOUN
komissio	komission	NOUN
suomi	suomessa	PROPN
usein	usein	ADV
kolme	kolme	NUM
erityisesti	erityisesti	ADV
koskaan	koskaan	ADV
miksi	miksi	ADV
tämä	tästä	PRON
2	2	NUM
joka	jota	PRON
sinne	sinne	ADV
joskus	joskus	ADV
huomio	huomioon	NOUN
hän	häntä	PRON
sanoa	sanoo	VERB
aika	ajan	NOUN
pitää	pitää	VERB
no	no	INTJ
täytyä	täytyy	AUX
kerta	kertaa	NOUN
joka	joita	PRON
heti	heti	ADV
jotta	jotta	SCONJ
antaa	antaa	VERB
eri	eri	ADJ
oikein	oikein	ADV
mennä	mennä	VERB
joku	joku	PRON
tänään	tänään	ADV
yli#opisto	yliopiston	NOUN
olla	onko	AUX
kuten	kuten	ADV
minä	meidän	PRON
jokin	jotain	PRON
sinä	sä	PRON
kautta	kautta	ADP
ensimmäinen	ensimmäinen	ADJ
se	niitä	PRON
tulla	tulla	VERB
saada	saada	VERB
ilman	ilman	ADP
enää	enää	PART
tulla	tullut	VERB
lisäksi	lisäksi	ADV
äiti	äiti	NOUN
kiinni	kiinni	ADV
uusi	uusi	ADJ
tämä	tähän	PRON
hän	hänet	PRON
saada	saanut	VERB
juuri	juuri	ADV
|	|	PUNCT
2009	2009	NUM
ehkä	ehkä	ADV
artikla	artiklan	NOUN
takaisin	takaisin	ADV
ihminen	ihmiset	NOUN
asetus	asetuksen	NOUN
kun	ku	SCONJ
vastaan	vastaan	ADP
tämä	tällä	PRON
uusi	uuden	ADJ
hieman	hieman	ADV
sitten	sit	ADV
myöhemmin	myöhemmin	ADV
komissio	komissio	NOUN
hän	heidän	PRON
joten	joten	ADV
eu	eu:n	PROPN
aika	aikaan	NOUN
käyttää	käyttää	VERB
nainen	nainen	NOUN
yleensä	yleensä	ADV
olla	olevan	VERB
hyvä	hyvää	ADJ
asti	asti	ADP
kuka	kuka	PRON
kertoa	kertoi	VERB
kertoa	kertoo	VERB
maa	maan	NOUN
siis	siis	ADV
olla	olemme	AUX
yhtä	yhtä	ADV
helsinki	helsingin	PROPN
tehdä	tehty	VERB
voida	voivat	AUX
joka	jolla	PRON
kukaan	kukaan	PRON
artikla	artikla	NOUN
lopulta	lopulta	ADV
3	3	NUM
ulos	ulos	ADV
aivan	aivan	PART
neuvosto	neuvoston	NOUN
maailma	maailman	NOUN
päivä	päivän	NOUN
uusi	uutta	ADJ
jolloin	jolloin	ADV
kello	kello	NOUN
viisi	viisi	NUM
oma	oma	ADJ
tietää	tiedä	VERB
minä	minulle	PRON
yksi	yhden	NUM
tapa	tavalla	NOUN
tehdä	tekee	VERB
tehdä	teki	VERB
edes	edes	PART
ei	emme	AUX
n:o	n:o	NOUN
me	meillä	PRON
kuulua	kuuluu	VERB
kaksi	kahden	NUM
haluta	haluaa	VERB
ensin	ensin	ADV
suuri	suuri	ADJ
saattaa	saattaa	AUX
tyttö	tyttö	NOUN
itse	itsensä	PRON
aika	aika	NOUN
muu	muuta	PRON
varmasti	varmasti	ADV
mennä	meni	VERB
hän	hänellä	PRON
joka	joiden	PRON
kohti	kohti	ADP
muu	muita	PRON
suomi	suomi	PROPN
tänne	tänne	ADV
niin	ni	PART
ei	älä	AUX
oma	oman	ADJ
suuri	suurin	ADJ
tietää	tietää	VERB
neljä	neljä	NUM
jopa	jopa	ADV
uusi	uusia	ADJ
puolesta	puolesta	ADP
täysin	täysin	ADV
joka	joissa	PRON
sieltä	sieltä	ADV
the	the	PROPN
osa	osalta	NOUN
sanoa	sanoa	VERB
ensi	ensi	ADJ
muu	muut	PRON
lapsi	lapsi	NOUN
takia	takia	ADP
sijaan	sijaan	ADP
pieni	pieni	ADJ
joka	joilla	PRON
muassa	muassa	ADV
edelleen	edelleen	ADV
mies	miehen	NOUN
hän	hänelle	PRON
nopeasti	nopeasti	ADV
yhtään	yhtään	ADV
toinen	toinen	PRON
asia	asiasta	NOUN
mukaisesti	mukaisesti	ADV
euro	euroa	NOUN
välillä	välillä	ADP
olla	olet	AUX
10	10	NUM
pian	pian	ADV
kaikki	kaiken	PRON
alkaa	alkoi	VERB
jäsen#valtio	jäsenvaltioiden	NOUN
kauan	kauan	ADV
lähteä	lähteä	VERB
ainakin	ainakin	ADV
määrä	määrä	NOUN
vasta	vasta	PART
joka	josta	PRON
erittäin	erittäin	ADV
muun	muun	ADV
tehdä	tehnyt	VERB
5	5	NUM
siksi	siksi	ADV
huolimatta	huolimatta	ADP
lähes	lähes	ADV
minä	minut	PRON
tämä	nämä	PRON
vuosi	vuodesta	NOUN
ensimmäinen	ensimmäisen	ADJ
kymmenen	kymmenen	NUM
paitsi	paitsi	ADV
isä	isä	NOUN
lisää	lisää	ADV
pitää	piti	AUX
arvoisa	arvoisa	ADJ
jäädä	jäi	VERB
te	te	PRON
päivä	päivä	NOUN
mikä	mistä	PRON
asia	asiaa	NOUN
samalla	samalla	ADV
tuntua	tuntuu	VERB
lapsi	lapset	NOUN
unioni	unionin	NOUN
mikä	missä	PRON
ihminen	ihmisiä	NOUN
mennessä	mennessä	ADP
joka	johon	PRON
raha	rahaa	NOUN
alue	alueella	NOUN
4	4	NUM
kuitenkaan	kuitenkaan	ADV
mieli	mieltä	NOUN
eilen	eilen	ADV
alkaa	alkaa	VERB
direktiivi	direktiivin	NOUN
yhdessä	yhdessä	ADV
tulla	tule	VERB
hetki	hetkellä	NOUN
kai	kai	PART
markka	markkaa	NOUN
näyttää	näyttää	VERB
kaupunki	kaupungin	NOUN
vanha	vanha	ADJ
käydä	käydä	VERB
parlamentti	parlamentin	NOUN
olla	oleva	VERB
varten	varten	ADP
toimia	toimii	VERB
koti	kotiin	NOUN
tulla	tulisi	VERB
ihminen	ihmisen	NOUN
tehdä	tehdään	VERB
miljoona	miljoonaa	NUM
olla	olisin	AUX
joka	joista	PRON
yhteys	yhteydessä	NOUN
presidentti	presidentti	NOUN
kysymys	kysymys	NOUN
poika	poika	NOUN
päivä	päivää	NOUN
lähteä	lähti	VERB
1.	1.	ADJ
vaikea	vaikea	ADJ
ei	eikö	AUX
selvästi	selvästi	ADV
aiemmin	aiemmin	ADV
kolme	kolmen	NUM
kaupunki	kaupunki	NOUN
peruste	perusteella	NOUN
jälleen	jälleen	ADV
kerran	kerran	ADV
se	niistä	PRON
pitkin	pitkin	ADP
kotona	kotona	ADV
voittaa	voitti	VERB
'	'	PUNCT
yhä	yhä	PART
haluta	haluan	VERB
tapaus	tapauksessa	NOUN
tieto	tietoa	NOUN
uudelleen	uudelleen	ADV
mutta	mut	CCONJ
muu	muiden	PRON
mahdollinen	mahdollista	ADJ
mikä	minkä	PRON
lähtien	lähtien	ADP
haluta	haluaisin	VERB
nainen	naiset	NOUN
vähemmän	vähemmän	ADV
käydä	käy	VERB
voida	voinut	AUX
kirja	kirjan	NOUN
mennä	menee	VERB
ihminen	ihmisten	NOUN
pari	pari	NUM
toimia	toimi	VERB
venäjä	venäjän	PROPN
:)	:)	SYM
ey	ey	PROPN
itse	itseään	PRON
apu	avulla	NOUN
helposti	helposti	ADV
hyvä	hyvät	ADJ
moni	monet	PRON
−	−	PUNCT
ei	enkä	AUX
professori	professori	NOUN
oma	omaa	ADJ
vaikuttaa	vaikuttaa	VERB
minä	minusta	PRON
viikko	viikon	NOUN
jäsen	jäsen	NOUN
asia	asian	NOUN
ainoastaan	ainoastaan	ADV
yhdysvallat	yhdysvaltain	PROPN
vuosi	vuoteen	NOUN
nainen	naisten	NOUN
pitkään	pitkään	ADV
tilanne	tilanne	NOUN
puhe#mies	puhemies	NOUN
koskea	koskevat	VERB
syntyä	syntyi	VERB
minä	mun	PRON
eläin	eläinten	NOUN
%	%	SYM
ihminen	ihminen	NOUN
olla	olleet	AUX
saakka	saakka	ADP
suomalainen	suomalainen	ADJ
suoraan	suoraan	ADV
työ	työtä	NOUN
joko	joko	CCONJ
hallitus	hallituksen	NOUN
muuten	muuten	ADV
nousta	nousi	VERB
vuosi	vuosi	NOUN
siten	siten	ADV
pakko	pakko	NOUN
jäädä	jää	VERB
olla	ollaan	AUX
maksaa	maksaa	VERB
tunti	tuntia	NOUN
osata	osaa	VERB
tärkeä	tärkeää	ADJ
ottaa	otti	VERB
hän	hänestä	PRON
käyttö	käyttöön	NOUN
kahvi	kahvia	NOUN
6	6	NUM
20	20	NUM
viisi	viiden	NUM
lähteä	lähtee	VERB
kuolla	kuoli	VERB
käydä	kävi	VERB
vuosi	vuosina	NOUN
puhua	puhua	VERB
helsinki	helsingissä	PROPN
perustamis#sopimus	perustamissopimuksen	NOUN
löytyä	löytyy	VERB
asia	asioita	NOUN
olla	onkin	AUX
alla	alla	ADP
tarkoittaa	tarkoittaa	VERB
tämä	tää	PRON
usea	useita	ADJ
auto	auto	NOUN
mukana	mukana	ADP
tulla	tulevat	VERB
toinen	toisen	ADJ
mahdollisuus	mahdollisuus	NOUN
saada	sain	VERB
2006	2006	NUM
toimia	toimia	VERB
mies	miehet	NOUN
se	sille	PRON
alue	alueen	NOUN
kesäkuu	kesäkuuta	NOUN
jatkaa	jatkaa	VERB
tämä	näitä	PRON
vaihe	vaiheessa	NOUN
2008	2008	NUM
7	7	NUM
sopimus	sopimuksen	NOUN
yksin	yksin	ADV
tämä	näiden	PRON
mikäli	mikäli	SCONJ
kohta	kohdan	NOUN
odottaa	odottaa	VERB
sanoa	sano	VERB
hetki	hetken	NOUN
tapahtua	tapahtuu	VERB
työ	työ	NOUN
15	15	NUM
iso	iso	ADJ
nainen	naisen	NOUN
tarkoitus	tarkoitus	NOUN
auto	auton	NOUN
sanoa	sanoin	VERB
ympäri	ympäri	ADP
sinä	sinun	PRON
päätös	päätös	NOUN
tarvita	tarvitaan	VERB
ottaa	otetaan	VERB
kysyä	kysyi	VERB
tahansa	tahansa	PART
maija	maija	PROPN
--	--	PUNCT
asia	asiat	NOUN
tärkeä	tärkeä	ADJ
nähdä	nähnyt	VERB
poliisi	poliisi	NOUN
2.	2.	ADJ
päästä	päästä	VERB
tehdä	tekemään	VERB
ajatella	ajattelin	VERB
esittää	esittää	VERB
maa	maassa	NOUN
takana	takana	ADP
kaikki	kaikkien	PRON
a	a	NOUN
kuulua	kuuluvat	VERB
verrata	verrattuna	VERB
kirja	kirja	NOUN
nykyisin	nykyisin	ADV
kokonaan	kokonaan	ADV
suomi	suomeen	PROPN
ovi	oven	NOUN
auki	auki	ADV
kohtaan	kohtaan	ADP
se	siltä	PRON
tämä	tänä	PRON
mies	miestä	NOUN
niinkuin	niinku	PART
maa	maiden	NOUN
käyttää	käytetään	VERB
ilmeisesti	ilmeisesti	ADV
osa	osan	NOUN
olla	olevat	VERB
nähdä	nähdä	VERB
pekka	pekka	PROPN
jokainen	jokainen	PRON
antaa	annettu	VERB
liikaa	liikaa	ADV
_	etten	_
ruoka	ruokaa	NOUN
nimi	nimi	NOUN
onneksi	onneksi	ADV
talo	talon	NOUN
kyse	kyse	NOUN
ranska	ranskan	PROPN
ajaa	ajaa	VERB
jokin	jotakin	PRON
sinä	sinulle	PRON
ottaa	ota	VERB
olla	olisivat	AUX
tarkoittaa	tarkoitetaan	VERB
pitää	pidetään	VERB
sanoa	sanonut	VERB
pieni	pienen	ADJ
käydä	käynyt	VERB
saada	saivat	VERB
työ	työn	NOUN
sama	samaan	PRON
tieto	tietojen	NOUN
silti	silti	ADV
kieli	kielen	NOUN
aamu	aamulla	NOUN
huomattavasti	huomattavasti	ADV
kaikki	kaikille	PRON
30	30	NUM
syy	syystä	NOUN
2007	2007	NUM
lapsi	lasten	NOUN
kirjoittaa	kirjoittaa	VERB
päätös	päätöksen	NOUN
x	x	NOUN
tarpeeksi	tarpeeksi	ADV
nuori	nuori	ADJ
katsoa	katsoo	VERB
joutua	joutui	VERB
alku	alussa	NOUN
sellainen	sellainen	ADJ
jäsen	jäsentä	NOUN
valtio	valtion	NOUN
ongelma	ongelmia	NOUN
voida	voin	AUX
ajatus	ajatus	NOUN
sinä	sinua	PRON
tarpeen	tarpeen	ADV
ylös	ylös	ADV
joku	jonkun	PRON
tutkimus	tutkimuksen	NOUN
tuntua	tuntui	VERB
vastata	vastaa	VERB
haluta	halua	VERB
kuukausi	kuukauden	NOUN
antaa	antoi	VERB
mikko	mikko	PROPN
keskellä	keskellä	ADP
3.	3.	ADJ
johtaa	johtaa	VERB
kiina	kiinan	PROPN
joulukuu	joulukuuta	NOUN
olla	olemassa	VERB
lapsi	lasta	NOUN
mm.	mm.	ADV
mieli	mielestäni	NOUN
suunta	suuntaan	NOUN
lähellä	lähellä	ADP
lapsi	lapsia	NOUN
johtaja	johtaja	NOUN
pitkä	pitkä	ADJ
vuosi	vuosia	NOUN
s.	s.	VERB
aikaisemmin	aikaisemmin	ADV
päästä	pääsi	VERB
ensimmäinen	ensimmäistä	ADJ
ihminen	ihmistä	NOUN
“	“	PUNCT
puoli	puoli	NUM
tuo	tuo	PRON
valmis	valmis	ADJ
kertoa	kertoa	VERB
hallitus	hallitus	NOUN
2005	2005	NUM
kuulua	kuului	VERB
sitten	sitte	ADV
marraskuu	marraskuuta	NOUN
alas	alas	ADV
ainoa	ainoa	ADJ
lukea	lukea	VERB
antaa	antanut	VERB
itse	itselleen	PRON
kunnes	kunnes	SCONJ
koulutus	koulutuksen	NOUN
viimeksi	viimeksi	ADV
kyse	kyseessä	NOUN
saada	saavat	VERB
tuskin	tuskin	PART
täynnä	täynnä	ADV
asetus	asetus	NOUN
nykyään	nykyään	ADV
yrittää	yrittää	VERB
esiin	esiin	ADV
kasvaa	kasvaa	VERB
harvoin	harvoin	ADV
hei	hei	INTJ
neuvosto	neuvosto	NOUN
läpi	läpi	ADV
huomenna	huomenna	ADV
suomalainen	suomalaisen	ADJ
alle	alle	ADV
prosentti	prosentin	NOUN
päälle	päälle	ADP
asia	asiassa	NOUN
päättää	päätti	VERB
kysyä	kysyä	VERB
joukko	joukko	NOUN
lento#liikenne	lentoliikenteen	NOUN
verran	verran	ADV
asia	asiaan	NOUN
artikla	artiklassa	NOUN
tammikuu	tammikuuta	NOUN
uusi	uudet	ADJ
tulla	tulen	VERB
tapahtua	tapahtui	VERB
metri	metrin	NOUN
työ	töitä	NOUN
lokakuu	lokakuuta	NOUN
me	meitä	PRON
entinen	entinen	ADJ
mikään	mikään	PRON
helppo	helppo	ADJ
erityinen	erityisen	ADJ
pitää	pidä	VERB
edellä	edellä	ADV
julkaista	julkaistiin	VERB
mies	miesten	NOUN
elämä	elämä	NOUN
tyytyväinen	tyytyväinen	ADJ
antaa	annetaan	VERB
sijaita	sijaitsee	VERB
saada	saadaan	VERB
niin	nii	PART
valitettavasti	valitettavasti	ADV
myötä	myötä	ADP
hyvä	hyviä	ADJ
sinä	sinulla	PRON
koskea	koskevan	VERB
moni	moni	PRON
viikko	viikolla	NOUN
äiti	äidin	NOUN
voida	voida	AUX
valita	valita	VERB
ei	eihän	AUX
hinta	hinta	NOUN
maa	maa	NOUN
hiljaa	hiljaa	ADV
loppu	loppuun	NOUN
lauantai	lauantaina	NOUN
asua	asuu	VERB
soittaa	soittaa	VERB
valtuus#kunta	valtuuskunta	NOUN
käytäntö	käytännössä	NOUN
sota	sodan	NOUN
tulla	tulemaan	VERB
ii	ii	ADJ
sellainen	sellaista	ADJ
nainen	naisia	NOUN
tieto	tietoja	NOUN
samoin	samoin	ADV
mikä	mihin	PRON
pystyä	pysty	VERB
syy	syytä	NOUN
todella	todella	ADV
elää	elää	VERB
oikeasti	oikeasti	ADV
sama	sama	PRON
aiheuttaa	aiheuttaa	VERB
sisään	sisään	ADV
sama	saman	PRON
jotenkin	jotenkin	ADV
vähintään	vähintään	ADV
puoli	puolella	NOUN
mukava	mukava	ADJ
nokia	nokian	PROPN
ruotsi	ruotsin	PROPN
suomalainen	suomalaiset	ADJ
tunti	tunnin	NOUN
erilainen	erilaisia	ADJ
eurooppa	euroopassa	PROPN
maa	maahan	NOUN
maa	maata	NOUN
haluta	halunnut	VERB
oma	omat	ADJ
toinen	toisiaan	PRON
kanta	kannalta	NOUN
milloin	milloin	ADV
tällöin	tällöin	ADV
200	200	NUM
jäädä	jäädä	VERB
toiminta	toiminnan	NOUN
kaikki	kaikkea	PRON
tietysti	tietysti	PART
oikeastaan	oikeastaan	ADV
mithridates	mithridates	PROPN
kaikki	kaikissa	PRON
miljoona	miljoonan	NUM
auttaa	auttaa	VERB
tieto	tiedot	NOUN
jos	ell	SCONJ
kasvaa	kasvoi	VERB
henkilö	henkilö	NOUN
ongelma	ongelma	NOUN
jokin	jonkin	PRON
12	12	NUM
toteuttaa	toteuttaa	VERB
lähteä	lähden	VERB
saattaa	saattoi	AUX
liite	liitteessä	NOUN
ollenkaan	ollenkaan	ADV
selvä	selvää	ADJ
ostaa	ostaa	VERB
me	meille	PRON
hiukan	hiukan	ADV
vuosi	vuodessa	NOUN
ikinä	ikinä	ADV
tehdä	tehtiin	VERB
syntyä	syntyy	VERB
entinen	entistä	ADJ
tuota	tota	PART
uusi	uuteen	ADJ
toisaalta	toisaalta	ADV
yhdeksän	yhdeksän	NUM
moni	monta	PRON
katsoa	katsoi	VERB
sama	samaa	PRON
lainkaan	lainkaan	ADV
muistuttaa	muistuttaa	VERB
hyvä	parempi	ADJ
huono	huono	ADJ
koskea	koskee	VERB
saada	saaneet	VERB
matka	matkalla	NOUN
oikea	oikea	ADJ
kiva	kiva	ADJ
maailma	maailmassa	NOUN
olla	oo	AUX
ajatella	ajatella	VERB
paikka	paikka	NOUN
yhteensä	yhteensä	ADV
riittää	riittää	VERB
varma	varma	ADJ
huomio	huomiota	NOUN
joo	joo	INTJ
apu	apua	NOUN
antaa	annetun	VERB
kesken	kesken	ADP
mielestä	mielestä	ADP
2003	2003	NUM
liittyä	liittyy	VERB
ohi	ohi	ADV
olla	olette	AUX
melko	melko	ADV
kestää	kestää	VERB
presidentti	presidentin	NOUN
hyvä	hyvän	ADJ
ilmoittaa	ilmoitti	VERB
paremmin	paremmin	ADV
new	new	PROPN
kannattaa	kannattaa	VERB
molemmat	molemmat	PRON
kestää	kesti	VERB
todeta	totesi	VERB
soveltaa	sovelletaan	VERB
silmä	silmät	NOUN
joku	jotkut	PRON
kaikki	kaikista	PRON
ilta	illalla	NOUN
muutama	muutaman	PRON
tarvita	tarvitse	AUX
2004	2004	NUM
työ	töissä	NOUN
tapahtua	tapahtunut	VERB
päässä	päässä	ADP
ai	ai	INTJ
yritys	yritysten	NOUN
käyttö	käyttö	NOUN
tietää	tiennyt	VERB
eteenpäin	eteenpäin	ADV
hyvä	paras	ADJ
of	of	PROPN
50	50	NUM
saksa	saksan	PROPN
13	13	NUM
olla	olemaan	AUX
vesi	vettä	NOUN
antaa	anna	VERB
istua	istui	VERB
herra	herra	NOUN
huomata	huomasin	VERB
/	/	PUNCT
elämä	elämän	NOUN
katsoa	katsomaan	VERB
torstai	torstaina	NOUN
tiistai	tiistaina	NOUN
jättää	jättää	VERB
ilta	illan	NOUN
neljä	neljän	NUM
sisältää	sisältää	VERB
tehdä	tee	VERB
_	ellei	_
tapa	tapa	NOUN
olla	ollu	VERB
vuosi	vuosien	NOUN
tietää	tiedän	VERB
suuri	suurta	ADJ
saada	saatu	VERB
kuningas	kuningas	NOUN
toukokuu	toukokuuta	NOUN
olla	olikin	AUX
tarkoitus	tarkoituksena	NOUN
ostaa	osti	VERB
suuri	suuren	ADJ
pyytää	pyytää	VERB
toimen#pide	toimenpiteet	NOUN
1998	1998	NUM
välttämättä	välttämättä	ADV
haluta	haluaisi	VERB
maaliskuu	maaliskuuta	NOUN
toinen	toiseen	PRON
päästä	päässyt	VERB
toistaiseksi	toistaiseksi	ADV
laki	lain	NOUN
mahdollisesti	mahdollisesti	ADV
viikko	viikkoa	NOUN
ruotsi	ruotsissa	PROPN
maanantai	maanantaina	NOUN
i	i	ADJ
sääntö	säännöt	NOUN
löytää	löytää	VERB
mukava	mukavaa	ADJ
minä	mua	PRON
valita	valittiin	VERB
olla	olevia	VERB
maa	maasta	NOUN
alkaen	alkaen	ADP
pitkälle	pitkälle	ADV
työ	töihin	NOUN
tulos	tulos	NOUN
viimeinen	viimeinen	ADJ
alue	alue	NOUN
yleisesti	yleisesti	ADV
minä	minulta	PRON
vastata	vastaava	VERB
sanoa	sanotaan	VERB
koira	koira	NOUN
antaa	annettiin	VERB
minä	mulla	PRON
kovin	kovin	ADV
yrittää	yritti	VERB
16	16	NUM
kaunis	kaunis	ADJ
lopuksi	lopuksi	ADV
hauska	hauskaa	ADJ
mennä	mennään	VERB
nähdä	näkee	VERB
lapsi	lapsen	NOUN
kunnolla	kunnolla	ADV
tämä	näissä	PRON
kertoa	kerro	VERB
takaa	takaa	ADP
mieli	mieli	NOUN
viedä	viedä	VERB
kylmä	kylmä	ADJ
eräs	eräs	PRON
kulua	kuluessa	VERB
metri	metriä	NOUN
lausunto	lausunnon	NOUN
päästä	pääsee	VERB
se	niille	PRON
kuukausi	kuukautta	NOUN
pikku	pikku	ADJ
elämä	elämää	NOUN
syödä	syö	VERB
tosin	tosin	ADV
puheen#johtaja	puheenjohtaja	NOUN
oma	omasta	ADJ
liittyä	liittyvät	VERB
viedä	vei	VERB
asetus	asetuksessa	NOUN
seuraavasti	seuraavasti	ADV
2000	2000	NUM
tuolla	tuolla	ADV
voida	voitaisiin	AUX
uusi	uusien	ADJ
kaikki	kaikkia	PRON
tie	tien	NOUN
tampere	tampereen	PROPN
yhteisö	yhteisöjen	NOUN
voida	voimme	AUX
jokin	jokin	PRON
euro	euron	NOUN
voimassa	voimassa	ADV
pieni	pienet	ADJ
jokin	jossain	PRON
ei	ette	AUX
esille	esille	ADV
muualla	muualla	ADV
joka	joihin	PRON
maailma	maailma	NOUN
kolmas	kolmas	ADJ
taso	tasolla	NOUN
voimaan	voimaan	ADV
käsi	kädet	NOUN
syödä	syödä	VERB
mieli	mieleen	NOUN
tapaus	tapauksissa	NOUN
tuntea	tunnetaan	VERB
perjantai	perjantaina	NOUN
olla	oliko	AUX
jäädä	jäänyt	VERB
kuusi	kuusi	NUM
oma	omia	ADJ
ymmärtää	ymmärtää	VERB
päättää	päättää	VERB
uskoa	usko	VERB
siirtyä	siirtyi	VERB
vanha	vanhan	ADJ
koskea	koskevien	VERB
naimisiin	naimisiin	ADV
suhde	suhteessa	NOUN
se	niissä	PRON
matka	matkan	NOUN
b	b	NOUN
olla	olevien	VERB
8	8	NUM
paikka	paikalla	NOUN
matka	matka	NOUN
luultavasti	luultavasti	ADV
kohta	kohta	ADV
tieto	tiedon	NOUN
käydä	kävin	VERB
markka	markan	NOUN
_	etteivät	_
muuttaa	muuttaa	VERB
saada	saatiin	VERB
säätää	säätää	VERB
yhtiö	yhtiö	NOUN
9	9	NUM
kuulla	kuulla	VERB
ei	eivätkä	AUX
nostaa	nostaa	VERB
sinä	sinut	PRON
jatkua	jatkuu	VERB
aurinko	aurinko	NOUN
muutos	muutoksia	NOUN
maailma	maailmaa	NOUN
puolestaan	puolestaan	ADV
14	14	NUM
x	x:n	NOUN
varsin	varsin	PART
seitsemän	seitsemän	NUM
kovasti	kovasti	ADV
perin	perin	ADV
sinä	sulle	PRON
raja	rajan	NOUN
runsaasti	runsaasti	ADV
syyskuu	syyskuuta	NOUN
tulevaisuus	tulevaisuudessa	NOUN
osa	osin	NOUN
toiminta	toimintaa	NOUN
eteen	eteen	ADP
1994	1994	NUM
tosi	tosi	PART
suuri	suuret	ADJ
helppo	helppoa	ADJ
olla	oon	AUX
ikään	ikään	ADV
käyttää	käytettiin	VERB
haluta	halusi	VERB
suuri	suuria	ADJ
tyttö	tytön	NOUN
osoittaa	osoittaa	VERB
myöntää	myöntää	VERB
pitää	pitänyt	AUX
opiskelija	opiskelijoiden	NOUN
olo	olo	NOUN
kausi	kaudella	NOUN
kappale	kappaletta	NOUN
kohta	kohdassa	NOUN
valmis	valmiiksi	ADJ
näyttää	näytti	VERB
tutkimus	tutkimus	NOUN
ensimmäinen	ensimmäisenä	ADJ
seuraava	seuraavaa	ADJ
nousta	noussut	VERB
paikka	paikan	NOUN
pieni	pieniä	ADJ
helsinki	helsinkiin	PROPN
jäsen	jäsenet	NOUN
bryssel	brysselissä	PROPN
saada	saisi	VERB
eurooppa	eurooppa	PROPN
pitää	pidän	VERB
eniten	eniten	ADV
nimi	nimellä	NOUN
haluta	halusin	VERB
asia	asioista	NOUN
palata	palasi	VERB
silloin	sillon	ADV
tehdä	tehtävä	VERB
käyttö	käytössä	NOUN
huomata	huomasi	VERB
rouva	rouva	NOUN
yritys	yritys	NOUN
olla	olevaa	VERB
ymmärtää	ymmärrä	VERB
