12	12	NUM
moment	moment	NOUN
license	license	NOUN
move	moved	VERB
mr	mr	NOUN
natural	natural	ADJ
table	table	NOUN
....	....	PUNCT
paper	paper	NOUN
near	near	ADP
wait	wait	VERB
special	special	ADJ
need	needs	VERB
check	check	VERB
helpful	helpful	ADJ
location	location	NOUN
situation	situation	NOUN
finally	finally	ADV
fine	fine	ADJ
support	support	NOUN
summer	summer	NOUN
global	global	ADJ
provide	provided	VERB
extremely	extremely	ADV
>	>	PUNCT
dinner	dinner	NOUN
bring	bring	VERB
dark	dark	ADJ
professional	professional	ADJ
clean	cleaned	VERB
gas	gas	NOUN
parent	parents	NOUN
write	written	VERB
necessary	necessary	ADJ
talk	talking	VERB
hold	held	VERB
horse	horse	NOUN
type	type	NOUN
enough	enough	ADJ
north	north	PROPN
11	11	NUM
source	source	NOUN
meet	met	VERB
recently	recently	ADV
<	<	PUNCT
2002	2002	NUM
particularly	particularly	ADV
2004	2004	NUM
specific	specific	ADJ
decide	decided	VERB
growth	growth	NOUN
stop	stop	VERB
cost	cost	NOUN
due	due	ADP
modern	modern	ADJ
beautiful	beautiful	ADJ
value	value	NOUN
article	article	NOUN
term	term	NOUN
population	population	NOUN
book	books	NOUN
term	terms	NOUN
restaurant	restaurant	NOUN
2003	2003	NUM
cat	cat	NOUN
region	region	NOUN
certainly	certainly	ADV
interest	interest	NOUN
capital	capital	NOUN
rate	rate	NOUN
south	south	PROPN
june	june	PROPN
art	art	NOUN
u.s.	u.s.	PROPN
either	either	CCONJ
response	response	NOUN
paris	paris	PROPN
price	prices	NOUN
simply	simply	ADV
play	play	VERB
consider	considered	VERB
future	future	NOUN
station	station	NOUN
wonderful	wonderful	ADJ
work	works	NOUN
see	seeing	VERB
write	wrote	VERB
forward	forward	ADV
decision	decision	NOUN
land	land	NOUN
publish	published	VERB
poor	poor	ADJ
huge	huge	ADJ
say	saying	VERB
general	general	ADJ
google	google	PROPN
result	results	NOUN
true	true	ADJ
event	events	NOUN
test	test	NOUN
credit	credit	NOUN
society	society	NOUN
role	role	NOUN
red	red	ADJ
way	ways	NOUN
october	october	PROPN
amazing	amazing	ADJ
dr.	dr.	PROPN
wrong	wrong	ADJ
bring	brought	VERB
comment	comments	NOUN
program	program	NOUN
rest	rest	NOUN
matter	matter	NOUN
private	private	ADJ
event	event	NOUN
simple	simple	ADJ
review	review	NOUN
third	third	ADJ
25	25	NUM
document	document	NOUN
training	training	NOUN
single	single	ADJ
microsoft	microsoft	PROPN
difficult	difficult	ADJ
part	parts	NOUN
study	studies	NOUN
die	died	VERB
son	son	NOUN
2001	2001	NUM
product	products	NOUN
action	action	NOUN
product	product	NOUN
yourself	yourself	PRON
voice	voice	NOUN
go	gone	VERB
application	application	NOUN
foot	feet	NOUN
close	close	ADJ
percentage	percentage	NOUN
ready	ready	ADJ
regard	regarding	VERB
look	looks	VERB
image	image	NOUN
final	final	ADJ
theory	theory	NOUN
8	8	NUM
you	yours	PRON
canada	canada	PROPN
interested	interested	ADJ
likely	likely	ADJ
various	various	ADJ
series	series	NOUN
return	returned	VERB
legal	legal	ADJ
san	san	PROPN
she	hers	PRON
late	late	ADJ
:)	:)	SYM
think	thinking	VERB
currently	currently	ADV
washington	washington	PROPN
indian	indian	ADJ
sort	sort	NOUN
americans	americans	PROPN
point	points	NOUN
oh	oh	INTJ
august	august	PROPN
campaign	campaign	NOUN
they	theirs	PRON
paul	paul	PROPN
live	living	VERB
company	companies	NOUN
de	de	PROPN
houston	houston	PROPN
hotel	hotel	NOUN
island	island	NOUN
boy	boy	NOUN
add	added	VERB
committee	committee	NOUN
*	*	PUNCT
allow	allowed	VERB
road	road	NOUN
18	18	NUM
david	david	PROPN
animal	animals	NOUN
top	top	NOUN
discuss	discuss	VERB
directive	directive	NOUN
performance	performance	NOUN
sit	sat	VERB
me	mine	PRON
fresh	fresh	ADJ
24	24	NUM
choose	choose	VERB
guy	guy	NOUN
happen	happened	VERB
hour	hour	NOUN
environment	environment	NOUN
box	box	NOUN
lot	lots	NOUN
write	write	VERB
mr.	mr.	PROPN
turn	turn	VERB
grandmother	grandmother	NOUN
enjoy	enjoy	VERB
safety	safety	NOUN
similar	similar	ADJ
monday	monday	PROPN
original	original	ADJ
russia	russia	PROPN
name	names	NOUN
speak	speak	VERB
name	named	VERB
police	police	NOUN
career	career	NOUN
walk	walked	VERB
follow	followed	VERB
pivottable	pivottable	NOUN
kid	kids	NOUN
sense	sense	NOUN
spend	spent	VERB
learn	learn	VERB
stuff	stuff	NOUN
go	goes	VERB
programme	programme	NOUN
answer	answer	NOUN
expect	expect	VERB
regards	regards	NOUN
pakistan	pakistan	PROPN
game	games	NOUN
auster	auster	PROPN
education	education	NOUN
lack	lack	NOUN
nor	nor	CCONJ
entire	entire	ADJ
take	takes	VERB
visit	visit	VERB
effect	effect	NOUN
leader	leaders	NOUN
offer	offer	VERB
bray	bray	PROPN
would	'd	AUX
administration	administration	NOUN
17	17	NUM
customer	customers	NOUN
protection	protection	NOUN
jeff	jeff	PROPN
measure	measures	NOUN
draft	draft	NOUN
create	created	VERB
follow	follow	VERB
<<	<<	PUNCT
design	design	NOUN
e-mail	e-mail	NOUN
#	#	SYM
throughout	throughout	ADP
force	forces	NOUN
language	languages	NOUN
significant	significant	ADJ
fax	fax	NOUN
floor	floor	NOUN
risk	risk	NOUN
council	council	NOUN
trouble	trouble	NOUN
november	november	PROPN
music	music	NOUN
walk	walk	VERB
window	window	NOUN
additional	additional	ADJ
doctor	doctor	NOUN
etc	etc	X
mark	mark	PROPN
>>	>>	PUNCT
proposal	proposal	NOUN
ten	ten	NUM
want	wants	VERB
unless	unless	SCONJ
requirement	requirements	NOUN
personal	personal	ADJ
industry	industry	NOUN
21	21	NUM
lead	led	VERB
completely	completely	ADV
worth	worth	ADJ
50	50	NUM
ensure	ensure	VERB
opinion	opinion	NOUN
hit	hit	VERB
force	force	NOUN
nearly	nearly	ADV
return	return	VERB
mrs	mrs	NOUN
section	section	NOUN
serious	serious	ADJ
hot	hot	ADJ
france	france	PROPN
style	style	NOUN
run	running	VERB
dangerous	dangerous	ADJ
internet	internet	NOUN
shop	shop	NOUN
option	options	NOUN
basis	basis	NOUN
addition	addition	NOUN
green	green	ADJ
reason	reasons	NOUN
filter	filter	NOUN
tomorrow	tomorrow	NOUN
plan	plan	NOUN
chance	chance	NOUN
reasonable	reasonable	ADJ
outside	outside	ADP
thus	thus	ADV
like	liked	VERB
ship	ship	NOUN
past	past	ADJ
step	step	NOUN
evidence	evidence	NOUN
include	included	VERB
computer	computer	NOUN
picture	pictures	NOUN
save	save	VERB
themselves	themselves	PRON
ron	ron	PROPN
subject	subject	NOUN
economy	economy	NOUN
chicken	chicken	NOUN
egg	eggs	NOUN
foreign	foreign	ADJ
effort	effort	NOUN
method	method	NOUN
definitely	definitely	ADV
weapon	weapons	NOUN
thursday	thursday	PROPN
standard	standards	NOUN
report	reported	VERB
st.	st.	PROPN
apply	apply	VERB
leave	leaving	VERB
action	actions	NOUN
cage	cage	NOUN
release	released	VERB
provide	provides	VERB
stand	stood	VERB
above	above	ADP
interesting	interesting	ADJ
blue	blue	ADJ
nature	nature	NOUN
activity	activities	NOUN
100	100	NUM
appear	appeared	VERB
report	reports	NOUN
request	request	NOUN
sql	sql	PROPN
hold	hold	VERB
trade	trade	NOUN
number	numbers	NOUN
option	option	NOUN
consider	consider	VERB
exactly	exactly	ADV
13	13	NUM
16	16	NUM
9	9	NUM
transport	transport	NOUN
england	england	PROPN
afternoon	afternoon	NOUN
god	god	PROPN
play	playing	VERB
give	giving	VERB
french	french	ADJ
management	management	NOUN
link	link	NOUN
perfect	perfect	ADJ
play	played	VERB
bus	bus	NOUN
lunch	lunch	NOUN
grow	grow	VERB
media	media	NOUN
fire	fire	NOUN
mention	mentioned	VERB
tank	tank	NOUN
lee	lee	PROPN
joke	joke	NOUN
daughter	daughter	NOUN
owner	owner	NOUN
piece	piece	NOUN
wait	waiting	VERB
river	river	NOUN
meat	meat	NOUN
dealer	dealers	NOUN
fish	fish	NOUN
facebook	facebook	PROPN
tax	tax	NOUN
change	changed	VERB
one	ones	NOUN
sit	sit	VERB
serve	served	VERB
sorry	sorry	ADJ
california	california	PROPN
step	steps	NOUN
city	cities	NOUN
opportunity	opportunity	NOUN
right	rights	NOUN
popular	popular	ADJ
official	officials	NOUN
science	science	NOUN
play	plays	NOUN
watch	watching	VERB
pick	pick	VERB
weekend	weekend	NOUN
iraqi	iraqi	ADJ
arm	arms	NOUN
m	m	NUM
expensive	expensive	ADJ
video	video	NOUN
somewhere	somewhere	ADV
citizen	citizens	NOUN
cut	cut	VERB
afghanistan	afghanistan	PROPN
cold	cold	ADJ
propose	proposed	VERB
imagine	imagine	VERB
season	season	NOUN
heat	heat	NOUN
life	lives	NOUN
query	query	NOUN
line	lines	NOUN
budget	budget	NOUN
ok	ok	ADJ
center	center	PROPN
author	author	NOUN
kitchen	kitchen	NOUN
sara	sara	PROPN
board	board	NOUN
property	property	NOUN
vince	vince	PROPN
church	church	NOUN
unique	unique	ADJ
religious	religious	ADJ
case	cases	NOUN
trip	trip	NOUN
climate	climate	NOUN
organization	organization	NOUN
analysis	analysis	NOUN
film	film	NOUN
student	students	NOUN
detail	details	NOUN
give	gives	VERB
format	format	NOUN
size	size	NOUN
visit	visited	VERB
december	december	PROPN
2014	2014	NUM
earth	earth	NOUN
address	address	NOUN
suggest	suggest	VERB
knowledge	knowledge	NOUN
coffee	coffee	NOUN
pay	paid	VERB
party	parties	NOUN
class	class	NOUN
total	total	ADJ
version	version	NOUN
threat	threat	NOUN
marriage	marriage	NOUN
respect	respect	NOUN
23	23	NUM
describe	described	VERB
immediately	immediately	ADV
model	model	NOUN
remain	remain	VERB
know	knows	VERB
text	text	NOUN
attend	attend	VERB
scientology	scientology	PROPN
14	14	NUM
sunday	sunday	PROPN
sector	sector	NOUN
yesterday	yesterday	NOUN
mike	mike	PROPN
bottom	bottom	NOUN
evening	evening	NOUN
locate	located	VERB
letter	letters	NOUN
kill	killed	VERB
alone	alone	ADV
pericles	pericles	PROPN
plant	plants	NOUN
allow	allow	VERB
sun	sun	NOUN
election	elections	NOUN
army	army	NOUN
blood	blood	NOUN
ground	ground	NOUN
cheap	cheap	ADJ
build	built	VERB
contract	contract	NOUN
clearly	clearly	ADV
low	low	ADJ
quick	quick	ADJ
idea	ideas	NOUN
girl	girls	NOUN
cat	cats	NOUN
ukraine	ukraine	PROPN
dollar	dollars	NOUN
structure	structure	NOUN
ask	asking	VERB
mweta	mweta	PROPN
effective	effective	ADJ
appropriate	appropriate	ADJ
winter	winter	NOUN
fair	fair	ADJ
further	further	ADJ
avoid	avoid	VERB
attack	attack	NOUN
bar	bar	NOUN
wish	wish	VERB
union	union	PROPN
employee	employees	NOUN
atmosphere	atmosphere	NOUN
fully	fully	ADV
zawahiri	zawahiri	PROPN
content	content	NOUN
19	19	NUM
present	present	ADJ
condition	conditions	NOUN
grow	growing	VERB
speak	spoke	VERB
build	build	VERB
discuss	discussed	VERB
choice	choice	NOUN
heart	heart	NOUN
anyway	anyway	ADV
flight	flight	NOUN
fun	fun	NOUN
leader	leader	NOUN
february	february	PROPN
difference	difference	NOUN
character	characters	NOUN
require	require	VERB
sell	sold	VERB
james	james	PROPN
east	east	PROPN
richard	richard	PROPN
dobby	dobby	PROPN
absolutely	absolutely	ADV
establish	established	VERB
impact	impact	NOUN
vote	vote	NOUN
desk	desk	NOUN
custom	custom	NOUN
database	database	NOUN
suppose	supposed	VERB
accept	accept	VERB
limited	limited	ADJ
awesome	awesome	ADJ
note	note	NOUN
base	base	NOUN
agree	agreed	VERB
2012	2012	NUM
post	posted	VERB
director	director	NOUN
mode	mode	NOUN
cause	caused	VERB
conference	conference	NOUN
safe	safe	ADJ
itself	itself	PRON
court	court	NOUN
africa	africa	PROPN
fix	fixed	VERB
warhol	warhol	PROPN
despite	despite	ADP
review	reviews	NOUN
purpose	purpose	NOUN
saturday	saturday	PROPN
warm	warm	ADJ
copy	copy	NOUN
interview	interview	NOUN
clothes	clothes	NOUN
activity	activity	NOUN
official	official	ADJ
appear	appears	VERB
intelligence	intelligence	NOUN
system	systems	NOUN
write	writing	VERB
bed	bed	NOUN
agree	agree	VERB
nuclear	nuclear	ADJ
hi	hi	INTJ
myself	myself	PRON
korea	korea	PROPN
daily	daily	ADJ
otherwise	otherwise	ADV
project	projects	NOUN
continue	continued	VERB
ability	ability	NOUN
birth	birth	NOUN
technical	technical	ADJ
sign	signed	VERB
value	values	NOUN
russian	russian	ADJ
island	islands	NOUN
directly	directly	ADV
central	central	ADJ
debate	debate	NOUN
22	22	NUM
fund	funds	NOUN
run	ran	VERB
building	building	NOUN
vet	vet	NOUN
toward	toward	ADP
user	users	NOUN
tuesday	tuesday	PROPN
enjoy	enjoyed	VERB
chris	chris	PROPN
level	levels	NOUN
page	pages	NOUN
effort	efforts	NOUN
manager	manager	NOUN
longer	longer	ADV
treatment	treatment	NOUN
whose	whose	PRON
freedom	freedom	NOUN
pain	pain	NOUN
chinese	chinese	ADJ
sit	sitting	VERB
mouth	mouth	NOUN
apply	applied	VERB
bird	bird	NOUN
reach	reach	VERB
watch	watch	VERB
brother	brother	NOUN
receive	receive	VERB
twice	twice	ADV
happen	happen	VERB
conversation	conversation	NOUN
stop	stopped	VERB
state	stated	VERB
press	press	NOUN
.?	.?	PUNCT
mean	meant	VERB
anthrax	anthrax	NOUN
wall	wall	NOUN
regional	regional	ADJ
rude	rude	ADJ
culture	culture	NOUN
busy	busy	ADJ
uncle	uncle	NOUN
guess	guess	VERB
expect	expected	VERB
start	starting	VERB
previous	previous	ADJ
towards	towards	ADP
involve	involved	VERB
explain	explain	VERB
difference	differences	NOUN
2010	2010	NUM
via	via	ADP
terrible	terrible	ADJ
join	joined	VERB
statement	statement	NOUN
meal	meal	NOUN
francisco	francisco	PROPN
pass	passed	VERB
village	village	NOUN
key	key	ADJ
decade	decades	NOUN
comfortable	comfortable	ADJ
effect	effects	NOUN
husband	husband	NOUN
garden	garden	NOUN
metal	metal	NOUN
cruise	cruise	NOUN
sound	sound	NOUN
serve	serve	VERB
fall	fall	VERB
western	western	ADJ
approach	approach	NOUN
post	post	NOUN
believe	believed	VERB
successful	successful	ADJ
digital	digital	ADJ
source	sources	NOUN
environmental	environmental	ADJ
appear	appear	VERB
middle	middle	NOUN
delivery	delivery	NOUN
advice	advice	NOUN
baby	baby	NOUN
fund	fund	NOUN
success	success	NOUN
show	shows	VERB
wednesday	wednesday	PROPN
restaurant	restaurants	NOUN
wine	wine	NOUN
resource	resources	NOUN
moon	moon	NOUN
concern	concern	NOUN
record	record	NOUN
basic	basic	ADJ
peter	peter	PROPN
english	english	PROPN
tree	trees	NOUN
aware	aware	ADJ
show	shown	VERB
develop	develop	VERB
develop	developed	VERB
stand	stand	VERB
recommend	recommended	VERB
responsible	responsible	ADJ
marry	married	VERB
euro	euro	NOUN
willing	willing	ADJ
properly	properly	ADV
west	west	PROPN
department	department	NOUN
@	@	ADP
element	elements	NOUN
thought	thoughts	NOUN
explain	explained	VERB
begin	begin	VERB
range	range	NOUN
eu	eu	PROPN
except	except	ADP
leg	legs	NOUN
majority	majority	NOUN
unfortunately	unfortunately	ADV
direct	direct	ADJ
worst	worst	ADJ
act	act	NOUN
fantastic	fantastic	ADJ
include	includes	VERB
2011	2011	NUM
movement	movement	NOUN
buy	bought	VERB
decide	decide	VERB
carry	carried	VERB
dress	dress	NOUN
discussion	discussion	NOUN
onto	onto	ADP
feed	feed	VERB
territory	territory	NOUN
contact	contact	NOUN
forget	forget	VERB
1999	1999	NUM
category	category	NOUN
elect	elected	VERB
put	putting	VERB
worker	workers	NOUN
fill	filled	VERB
civil	civil	ADJ
deep	deep	ADJ
finish	finished	VERB
coast	coast	NOUN
audience	audience	NOUN
+	+	SYM
concerned	concerned	ADJ
room	rooms	NOUN
lead	leading	VERB
memory	memory	NOUN
billion	billion	NUM
weasley	weasley	PROPN
thousand	thousands	NOUN
fundamental	fundamental	ADJ
accept	accepted	VERB
fast	fast	ADJ
chair	chair	NOUN
australia	australia	PROPN
federal	federal	ADJ
apartment	apartment	NOUN
